,Grid_Latitude,Grid_Longitude,Alpha,Predictions
44,2.200000762939453,154.9199981689453,0.8543019890785217,0.8534974931385333
152,-3.0799999237060547,156.67999267578125,0.8361459970474243,0.8347351050221513
237,7.920000076293945,157.55999755859375,0.7618236541748047,0.7606429360251732
998,-0.4400005340576172,169.0,0.7623178362846375,0.7618306188330537
301,-3.520000457763672,158.8800048828125,0.8408758044242859,0.8405732412959523
417,7.920000076293945,160.1999969482422,0.7338129281997681,0.7330444149479322
939,0.0,168.1199951171875,0.8500539064407349,0.8490191899352063
439,4.399999618530273,160.63999938964844,0.7186412215232849,0.7249062682159834
655,7.040000915527344,163.72000122070312,0.6633726954460144,0.6668667764671193
83,6.159999847412109,155.36000061035156,0.8313671350479126,0.8315920647128161
410,4.840000152587891,160.1999969482422,0.8432918190956116,0.8511897549410447
372,1.3199996948242188,159.75999450683594,0.8957257270812988,0.9000038757282338
11,0.8800010681152344,154.47999572753906,0.8580660820007324,0.856065585581211
938,-0.4400005340576172,168.1199951171875,0.8653128743171692,0.8636569253588642
714,6.600000381469727,164.60000610351562,0.6033968329429626,0.6069799817919457
390,-3.9599990844726562,160.1999969482422,0.7180098295211792,0.7174728534686617
974,2.200000762939453,168.55999755859375,0.850967288017273,0.8495984876110443
1033,1.760000228881836,169.44000244140625,0.7426192164421082,0.7449480575411939
704,2.200000762939453,164.60000610351562,0.5803444981575012,0.5872676210485185
951,5.280000686645508,168.1199951171875,0.6934984922409058,0.6955601069694756
627,7.920000076293945,163.27999877929688,0.7642764449119568,0.7665874210696715
964,-2.1999988555908203,168.55999755859375,0.8059274554252625,0.8028815095811338
371,0.8800010681152344,159.75999450683594,0.853190004825592,0.8500969489219398
715,7.040000915527344,164.60000610351562,0.6353865265846252,0.6341548972202181
885,2.6400012969970703,167.24000549316406,0.7062517404556274,0.7078866278096609
1016,7.479999542236328,169.0,0.649746835231781,0.6557424222285099
507,7.920000076293945,161.52000427246094,0.7816043496131897,0.7783605404169968
647,3.520000457763672,163.72000122070312,0.8605327606201172,0.857501128325693
27,7.920000076293945,154.47999572753906,0.6312090158462524,0.6327936846694373
481,-3.520000457763672,161.52000427246094,0.8653067946434021,0.8627939505120436
112,5.720001220703125,155.8000030517578,0.8643105626106262,0.8617514384243299
720,-3.9599990844726562,165.0399932861328,0.6564012169837952,0.6587142628476723
494,2.200000762939453,161.52000427246094,0.7244975566864014,0.7233754040124998
912,1.3199996948242188,167.67999267578125,0.6378297209739685,0.6517092135270429
261,5.280000686645508,158.0,0.7891368865966797,0.7872371097801819
821,0.8800010681152344,166.36000061035156,0.671908438205719,0.6726244330415496
402,1.3199996948242188,160.1999969482422,0.8649176955223083,0.8570706857206987
956,7.479999542236328,168.1199951171875,0.7359435558319092,0.73695957743966
542,-3.0799999237060547,162.39999389648438,0.7986213564872742,0.7994617321897994
213,-2.6399993896484375,157.55999755859375,0.8361530303955078,0.831476253802979
69,0.0,155.36000061035156,0.8863118290901184,0.8797871345973372
1012,5.720001220703125,169.0,0.8678255677223206,0.8657650147917012
732,1.3199996948242188,165.0399932861328,0.8431923389434814,0.8377816545763331
394,-2.1999988555908203,160.1999969482422,0.6896199584007263,0.6898713676333458
294,6.600000381469727,158.44000244140625,0.779109537601471,0.7782182623811605
173,6.159999847412109,156.67999267578125,0.8541796207427979,0.8534010951400867
934,-2.1999988555908203,168.1199951171875,0.8231387734413147,0.8235963435622664
259,4.399999618530273,158.0,0.767620325088501,0.7686562071950418
106,3.0799999237060547,155.8000030517578,0.7760735154151917,0.7771104438713484
862,5.720001220703125,166.8000030517578,0.8030783534049988,0.801768533158867
427,-0.8799991607666016,160.63999938964844,0.7110596299171448,0.7123005830816133
804,6.600000381469727,165.9199981689453,0.8437365293502808,0.8440516691164264
896,7.479999542236328,167.24000549316406,0.8189985752105713,0.8171015324490679
161,0.8800010681152344,156.67999267578125,0.6729859709739685,0.6761809665196004
216,-1.3199996948242188,157.55999755859375,0.8087728023529053,0.8092310439861915
28,8.360000610351562,154.47999572753906,0.7144017219543457,0.7130784153563545
365,-1.760000228881836,159.75999450683594,0.7150243520736694,0.7184571656591583
723,-2.6399993896484375,165.0399932861328,0.6567811369895935,0.6594393841313301
877,-0.8799991607666016,167.24000549316406,0.7035097479820251,0.7000760678774072
616,3.0799999237060547,163.27999877929688,0.9018128514289856,0.9057068837590767
408,3.960000991821289,160.1999969482422,1.0279935598373413,1.0229854418983124
509,8.80000114440918,161.52000427246094,0.7369275093078613,0.7393859368496349
713,6.159999847412109,164.60000610351562,0.6168880462646484,0.6171415252358368
466,3.0799999237060547,161.0800018310547,0.6914628148078918,0.6855063079389031
570,-3.9599990844726562,162.83999633789062,0.5736469030380249,0.5797059729426974
832,5.720001220703125,166.36000061035156,0.8325450420379639,0.830089373011655
366,-1.3199996948242188,159.75999450683594,0.7768911719322205,0.7756698751673066
401,0.8800010681152344,160.1999969482422,0.7517505884170532,0.7568244045572677
404,2.200000762939453,160.1999969482422,0.7401553988456726,0.7446527333271985
778,8.360000610351562,165.47999572753906,0.6496717929840088,0.652702884208174
833,6.159999847412109,166.36000061035156,0.833594560623169,0.8349376044028426
1031,0.8800010681152344,169.44000244140625,0.737676739692688,0.7384592387747893
829,4.399999618530273,166.36000061035156,0.8150880932807922,0.814189007356346
538,8.360000610351562,161.95999145507812,0.6786237955093384,0.6797959313150895
905,-1.760000228881836,167.67999267578125,0.8381789922714233,0.8370395050457583
451,-3.520000457763672,161.0800018310547,0.7631165385246277,0.7613747307689377
5,-1.760000228881836,154.47999572753906,0.8626179695129395,0.8597210670925891
567,7.920000076293945,162.39999389648438,0.6518722772598267,0.6498417044880017
506,7.479999542236328,161.52000427246094,0.7652503848075867,0.774425770008524
142,5.720001220703125,156.24000549316406,0.8016749024391174,0.8033782624115917
682,5.720001220703125,164.16000366210938,0.7792906165122986,0.7778363950087005
392,-3.0799999237060547,160.1999969482422,0.7035043239593506,0.7013661196998463
897,7.920000076293945,167.24000549316406,0.8182633519172668,0.817839903466969
909,0.0,167.67999267578125,0.8174498081207275,0.8091889834392443
191,0.8800010681152344,157.1199951171875,0.8174481987953186,0.8164879345947296
358,8.360000610351562,159.3199920654297,0.7162695527076721,0.7171874213248239
199,4.399999618530273,157.1199951171875,0.9188229441642761,0.9137954768103004
918,3.960000991821289,167.67999267578125,0.7413423657417297,0.7407168230980042
635,-1.760000228881836,163.72000122070312,0.5731938481330872,0.5812068435297033
303,-2.6399993896484375,158.8800048828125,0.7922961711883545,0.8082207775635664
423,-2.6399993896484375,160.63999938964844,0.6873825192451477,0.6884567306640443
914,2.200000762939453,167.67999267578125,0.6818777322769165,0.6814242051959646
440,4.840000152587891,160.63999938964844,0.7501530647277832,0.7493188052836436
978,3.960000991821289,168.55999755859375,0.88218092918396,0.8743209589035562
443,6.159999847412109,160.63999938964844,1.011017918586731,1.0025479387485288
548,-0.4400005340576172,162.39999389648438,0.8239853978157043,0.8243385056708045
267,7.920000076293945,158.0,0.8278149366378784,0.8300531502773544
240,-3.9599990844726562,158.0,0.6435073614120483,0.6450314095276318
290,4.840000152587891,158.44000244140625,0.7882126569747925,0.7860703708024869
884,2.200000762939453,167.24000549316406,0.7280290722846985,0.7264061038270491
144,6.600000381469727,156.24000549316406,0.8157668709754944,0.8163809085385557
754,-2.1999988555908203,165.47999572753906,0.6419103145599365,0.6437191932216478
367,-0.8799991607666016,159.75999450683594,0.8245080709457397,0.8228173870028694
521,0.8800010681152344,161.95999145507812,0.7578893899917603,0.7572745557636216
1046,7.479999542236328,169.44000244140625,0.9073342680931091,0.9027249315997629
632,-3.0799999237060547,163.72000122070312,0.6889589428901672,0.6862199738159057
792,1.3199996948242188,165.9199981689453,0.7681474089622498,0.7661907298845161
911,0.8800010681152344,167.67999267578125,0.8249124884605408,0.802456844856953
785,-1.760000228881836,165.9199981689453,0.6461790204048157,0.6470475734002465
999,0.0,169.0,0.7746749520301819,0.7755766913107952
597,7.920000076293945,162.83999633789062,0.6515218615531921,0.6528031221193326
188,-0.4400005340576172,157.1199951171875,0.8453538417816162,0.8461222916019789
953,6.159999847412109,168.1199951171875,0.7555910348892212,0.7550804581763186
491,0.8800010681152344,161.52000427246094,0.6716156005859375,0.6725418755879125
652,5.720001220703125,163.72000122070312,0.7290738821029663,0.732717387674927
634,-2.1999988555908203,163.72000122070312,0.6397838592529297,0.636617213699967
1036,3.0799999237060547,169.44000244140625,0.8100292086601257,0.80749481868886
851,0.8800010681152344,166.8000030517578,0.6973427534103394,0.6977952816580951
79,4.399999618530273,155.36000061035156,0.8252485990524292,0.8260998488768881
923,6.159999847412109,167.67999267578125,0.7284439206123352,0.7290366159853624
557,3.520000457763672,162.39999389648438,0.7564836740493774,0.7563341616569699
907,-0.8799991607666016,167.67999267578125,0.8814151287078857,0.8790377483218244
795,2.6400012969970703,165.9199981689453,0.793762743473053,0.7937626335756899
834,6.600000381469727,166.36000061035156,0.8469386696815491,0.8456870554808799
701,0.8800010681152344,164.60000610351562,0.6474978923797607,0.6531743079845359
1024,-2.1999988555908203,169.44000244140625,0.784722089767456,0.7834245715671524
674,2.200000762939453,164.16000366210938,0.7285947203636169,0.7278210938448079
572,-3.0799999237060547,162.83999633789062,0.6782646775245667,0.678421351170251
461,0.8800010681152344,161.0800018310547,0.6896356344223022,0.6916684227880185
433,1.760000228881836,160.63999938964844,0.7096782922744751,0.7107175264243057
22,5.720001220703125,154.47999572753906,0.7386845350265503,0.7396584981490639
334,-2.1999988555908203,159.3199920654297,0.7283605933189392,0.7320071327638209
895,7.040000915527344,167.24000549316406,0.7879742383956909,0.7887210572613033
258,3.960000991821289,158.0,0.7877380847930908,0.7871691865289121
594,6.600000381469727,162.83999633789062,0.7309014201164246,0.726731772485219
992,-3.0799999237060547,169.0,0.7661358118057251,0.7658705416774318
264,6.600000381469727,158.0,0.717778205871582,0.7216185952981714
603,-2.6399993896484375,163.27999877929688,0.7729725241661072,0.7634154381382863
363,-2.6399993896484375,159.75999450683594,0.7731534838676453,0.7709086355795832
546,-1.3199996948242188,162.39999389648438,0.9112277030944824,0.9044599199329446
617,3.520000457763672,163.27999877929688,0.9068663716316223,0.902703250536871
233,6.159999847412109,157.55999755859375,0.9335976243019104,0.9317114511732822
990,-3.9599990844726562,169.0,0.7775351405143738,0.7764118923964889
319,4.399999618530273,158.8800048828125,0.7477013468742371,0.7491074370693213
91,-3.520000457763672,155.8000030517578,0.6827184557914734,0.6875997257175178
20,4.840000152587891,154.47999572753906,0.7075443267822266,0.710159592929982
442,5.720001220703125,160.63999938964844,0.9090709686279297,0.9106921127444645
274,-2.1999988555908203,158.44000244140625,0.6534876823425293,0.6544920490453362
843,-2.6399993896484375,166.8000030517578,0.6492156982421875,0.6521126450027612
925,7.040000915527344,167.67999267578125,0.7078678607940674,0.7097303543281299
929,8.80000114440918,167.67999267578125,0.7912338376045227,0.788930294643092
680,4.840000152587891,164.16000366210938,0.7549304962158203,0.7545468469088962
864,6.600000381469727,166.8000030517578,0.8350833058357239,0.8345575486868928
26,7.479999542236328,154.47999572753906,0.6163439154624939,0.6255310950259442
657,7.920000076293945,163.72000122070312,0.7364857196807861,0.7366533753575146
328,8.360000610351562,158.8800048828125,0.7351819276809692,0.736985466614516
735,2.6400012969970703,165.0399932861328,0.6038936972618103,0.6089757923859223
863,6.159999847412109,166.8000030517578,0.8252589702606201,0.8247419962309654
928,8.360000610351562,167.67999267578125,0.7405779957771301,0.7429622613116131
377,3.520000457763672,159.75999450683594,0.7572352290153503,0.7566973071866371
81,5.280000686645508,155.36000061035156,0.8637011051177979,0.8633527263288633
575,-1.760000228881836,162.83999633789062,0.7859670519828796,0.7845360731865396
375,2.6400012969970703,159.75999450683594,0.7569364309310913,0.7616397458109471
70,0.4400005340576172,155.36000061035156,0.813453197479248,0.8166691904029071
736,3.0799999237060547,165.0399932861328,0.6296841502189636,0.6312221698391728
54,6.600000381469727,154.9199981689453,0.6999502182006836,0.7051538902053093
671,0.8800010681152344,164.16000366210938,0.8669775724411011,0.8469151022072728
910,0.4400005340576172,167.67999267578125,0.6825300455093384,0.7021809241888334
675,2.6400012969970703,164.16000366210938,0.7233124375343323,0.7230483240250422
263,6.159999847412109,158.0,0.7417236566543579,0.7412905589527271
839,8.80000114440918,166.36000061035156,0.8537024855613708,0.8514112868058654
545,-1.760000228881836,162.39999389648438,0.8133788704872131,0.8130757919372602
231,5.280000686645508,157.55999755859375,0.7966964840888977,0.7952018215428294
684,6.600000381469727,164.16000366210938,0.7336292862892151,0.7315577196113086
590,4.840000152587891,162.83999633789062,0.7816782593727112,0.7798305345874469
68,-0.4400005340576172,155.36000061035156,0.8771675825119019,0.8824370370330001
963,-2.6399993896484375,168.55999755859375,0.749437153339386,0.7517284283238362
176,7.479999542236328,156.67999267578125,0.8185336589813232,0.8177806211138563
850,0.4400005340576172,166.8000030517578,0.6879717111587524,0.6886401870149945
699,0.0,164.60000610351562,0.8817959427833557,0.8745616300803734
1020,-3.9599990844726562,169.44000244140625,0.6682042479515076,0.6715705602503109
456,-1.3199996948242188,161.0800018310547,0.7263927459716797,0.7285307963678358
902,-3.0799999237060547,167.67999267578125,0.8423134088516235,0.8421567629242508
633,-2.6399993896484375,163.72000122070312,0.6625624895095825,0.6658016886705876
770,4.840000152587891,165.47999572753906,0.6795654296875,0.6826605607175508
425,-1.760000228881836,160.63999938964844,0.7438884377479553,0.7425901225998942
663,-2.6399993896484375,164.16000366210938,0.8144193291664124,0.8103493809127634
485,-1.760000228881836,161.52000427246094,0.7440845966339111,0.7449847313715717
254,2.200000762939453,158.0,0.8233656883239746,0.8220720598712336
9,0.0,154.47999572753906,0.8300765752792358,0.8293151757053596
788,-0.4400005340576172,165.9199981689453,0.6660208702087402,0.6677982199392238
742,5.720001220703125,165.0399932861328,0.679290235042572,0.679402339714741
145,7.040000915527344,156.24000549316406,0.8209248781204224,0.8201107817718994
602,-3.0799999237060547,163.27999877929688,0.5831491351127625,0.5938645533935515
891,5.280000686645508,167.24000549316406,0.7080270051956177,0.7097307024536226
344,2.200000762939453,159.3199920654297,0.6461730599403381,0.6555562576445622
350,4.840000152587891,159.3199920654297,0.6925117373466492,0.692271189716542
783,-2.6399993896484375,165.9199981689453,0.6036953330039978,0.6080679613333544
238,8.360000610351562,157.55999755859375,0.7439940571784973,0.7464518245980605
638,-0.4400005340576172,163.72000122070312,0.8234378695487976,0.8176690596299495
487,-0.8799991607666016,161.52000427246094,0.721864640712738,0.7221630139736832
962,-3.0799999237060547,168.55999755859375,0.7320210337638855,0.7334152775994853
143,6.159999847412109,156.24000549316406,0.8158280253410339,0.8145939911865736
384,6.600000381469727,159.75999450683594,0.651868999004364,0.6546926171851328
230,4.840000152587891,157.55999755859375,0.7319591045379639,0.7359065081661995
56,7.479999542236328,154.9199981689453,0.697070837020874,0.698849364477595
613,1.760000228881836,163.27999877929688,0.9090637564659119,0.9053836429062521
668,-0.4400005340576172,164.16000366210938,0.6702163815498352,0.6683051266654763
464,2.200000762939453,161.0800018310547,0.6506103873252869,0.6484544303884006
721,-3.520000457763672,165.0399932861328,0.6663297414779663,0.6656939166959562
312,1.3199996948242188,158.8800048828125,0.5353106260299683,0.5425854022715629
621,5.280000686645508,163.27999877929688,0.6774946451187134,0.6781959426523361
1022,-3.0799999237060547,169.44000244140625,0.7116974592208862,0.7134275440710809
780,-3.9599990844726562,165.9199981689453,0.6642253994941711,0.6653924569833572
357,7.920000076293945,159.3199920654297,0.7162123918533325,0.7164330713008186
0,-3.9599990844726562,154.47999572753906,0.934700071811676,0.9277837332953773
803,6.159999847412109,165.9199981689453,0.871532142162323,0.8673039674834795
325,7.040000915527344,158.8800048828125,0.7765471339225769,0.7760085237913573
796,3.0799999237060547,165.9199981689453,0.8049933314323425,0.804610285274595
1004,2.200000762939453,169.0,0.892234206199646,0.8880178446820156
544,-2.1999988555908203,162.39999389648438,0.7243698835372925,0.729178053268683
45,2.6400012969970703,154.9199981689453,0.8525514602661133,0.853299298206583
298,8.360000610351562,158.44000244140625,0.7152429819107056,0.7190791741677321
155,-1.760000228881836,156.67999267578125,0.8652716875076294,0.8621769604659713
353,6.159999847412109,159.3199920654297,0.7113242149353027,0.7126682375691291
861,5.280000686645508,166.8000030517578,0.7651923298835754,0.7665824044328796
266,7.479999542236328,158.0,0.8051663637161255,0.8027379121813227
1035,2.6400012969970703,169.44000244140625,0.7794550061225891,0.7824760144661352
835,7.040000915527344,166.36000061035156,0.8407570719718933,0.8403628422224643
534,6.600000381469727,161.95999145507812,0.788312554359436,0.7855102032552062
561,5.280000686645508,162.39999389648438,0.6252956986427307,0.6285710152385805
898,8.360000610351562,167.24000549316406,0.8151469826698303,0.8162690467195515
327,7.920000076293945,158.8800048828125,0.7767967581748962,0.7745531766606444
304,-2.1999988555908203,158.8800048828125,0.9616106748580933,0.9463948684157856
98,-0.4400005340576172,155.8000030517578,0.8171401023864746,0.8183376821829005
731,0.8800010681152344,165.0399932861328,0.8166773915290833,0.8186167787539871
793,1.760000228881836,165.9199981689453,0.7565659284591675,0.7585853923831591
61,-3.520000457763672,155.36000061035156,0.6600801348686218,0.6704318589539578
25,7.040000915527344,154.47999572753906,0.7711653113365173,0.7632224634501237
936,-1.3199996948242188,168.1199951171875,0.8245086669921875,0.8256597471599082
502,5.720001220703125,161.52000427246094,0.620934247970581,0.6222802789732165
429,0.0,160.63999938964844,0.6947069764137268,0.6906439126137391
608,-0.4400005340576172,163.27999877929688,0.9414019584655762,0.936291499910089
676,3.0799999237060547,164.16000366210938,0.7187302708625793,0.7204905052704073
89,8.80000114440918,155.36000061035156,0.7485250234603882,0.7513395781963869
51,5.280000686645508,154.9199981689453,0.8761200904846191,0.8727182439212223
1006,3.0799999237060547,169.0,0.8714887499809265,0.8710752650143445
436,3.0799999237060547,160.63999938964844,0.8248702883720398,0.8278246922514465
831,5.280000686645508,166.36000061035156,0.7992387413978577,0.8010113130594766
308,-0.4400005340576172,158.8800048828125,0.7154644727706909,0.7179267488102615
85,7.040000915527344,155.36000061035156,0.8663445115089417,0.8642202959450467
170,4.840000152587891,156.67999267578125,0.8383480310440063,0.8430364823137448
628,8.360000610351562,163.27999877929688,0.7817145586013794,0.7786234075408563
460,0.4400005340576172,161.0800018310547,0.7287668585777283,0.7267671856506015
90,-3.9599990844726562,155.8000030517578,0.7106575965881348,0.7103361367285765
744,6.600000381469727,165.0399932861328,0.6398792862892151,0.6415286402426892
976,3.0799999237060547,168.55999755859375,0.8556801080703735,0.853993857664351
80,4.840000152587891,155.36000061035156,0.8664293885231018,0.8640112859679413
665,-1.760000228881836,164.16000366210938,0.6397916674613953,0.6444490155388228
996,-1.3199996948242188,169.0,0.725599467754364,0.7274827149533627
566,7.479999542236328,162.39999389648438,0.6146299242973328,0.6203747232172531
163,1.760000228881836,156.67999267578125,0.688847541809082,0.692254154442123
